9.8	1178	3.81	13	25	42
9.8	1178	3.81	13	25	42
9.8	1178	3.81	13	25	42
21.2	1178	3.81	6	25	42
21.2	1178	3.81	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
19.8	951	3.56	6	18	25
9.9	951	3.56	12	33	25
9.9	2209	3.56	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
43.0	2209	15.42	12	33	47
23.4	2209	15.42	22	33	47
23.4	2209	15.42	22	38	60
29.7	2269	19.53	22	38	60
29.7	2269	19.53	22	38	60
29.7	2269	19.53	22	38	60
29.7	2269	19.53	22	38	60
29.7	2269	19.53	22	38	60
29.7	2269	19.53	22	38	60
20.4	2269	19.53	32	38	60
20.4	2269	19.53	32	38	60
20.4	2269	19.53	32	38	60
20.4	2269	19.53	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
20.3	2893	19.48	32	38	63
16.7	2893	19.48	39	38	63
16.7	2183	19.48	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	38	45
8.1	2183	9.44	39	20	18
8.7	2174	10.19	39	20	18
8.7	2174	10.19	39	20	18
8.7	2174	10.19	39	20	18
8.7	2174	10.19	39	20	18
8.7	2174	10.19	39	20	18
8.7	2174	10.19	39	20	18
7.9	2174	10.19	43	20	18
7.9	2174	10.19	43	38	62
16.8	2408	21.66	43	38	62
16.8	2408	21.66	43	38	62
16.8	2408	21.66	43	38	62
16.8	2408	21.66	43	38	62
16.8	2408	21.66	43	38	62
16.8	2408	21.66	43	38	62
14.8	2408	21.66	49	38	62
14.8	2408	21.66	49	20	17
14.8	2369	21.66	49	20	17
11.8	2369	17.30	49	20	17
11.8	2369	17.30	49	20	17
11.8	2369	17.30	49	20	17
11.8	2369	17.30	49	20	17
11.8	2369	17.30	49	20	17
11.8	2369	17.30	49	20	17
11.1	2369	17.30	52	20	17
11.1	2043	17.30	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.9	2043	13.87	52	36	59
8.6	2043	13.87	54	29	59
8.6	2106	13.87	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
6.1	2106	9.93	54	29	31
5.9	2106	9.93	56	35	31
5.9	2193	9.93	56	35	54
10.5	2193	17.65	56	35	54
10.5	2193	17.65	56	35	54
10.5	2193	17.65	56	35	54
10.5	2193	17.65	56	35	54
10.5	2193	17.65	56	35	54
10.5	2193	17.65	56	35	54
9.8	2193	17.65	60	35	54
9.8	2060	17.65	60	20	11
2.3	2060	4.21	60	20	11
2.3	2060	4.21	60	20	11
2.3	2060	4.21	60	20	11
